"id","name","created_at","updated_at"
330,"Wet Wet Wet","2025-03-23 19:54:11","2025-03-23 19:54:11"
331,"De Nattergale","2025-03-23 19:54:11","2025-03-23 19:54:11"
332,"Jacks Terry","2025-03-23 19:54:11","2025-03-23 19:54:11"
333,"Lone Kellerman/Gasolin","2025-03-23 19:54:11","2025-03-23 19:54:11"
334,"Anne Linnet","2025-03-23 19:54:11","2025-03-23 19:54:11"
335,"Nice Little Penguins","2025-03-23 19:54:11","2025-03-23 19:54:11"
336,"Elvis","2025-03-23 19:54:11","2025-03-23 19:54:11"
337,"Buffalo Springfield","2025-03-23 19:54:11","2025-03-23 19:54:11"
338,"Foreigner","2025-03-23 19:54:11","2025-03-23 19:54:11"
339,"Eva Madsen","2025-03-23 19:54:11","2025-03-23 19:54:11"
340,"Bamses Venner","2025-03-23 19:54:11","2025-03-23 19:54:11"
341,"Kent","2025-03-23 19:54:11","2025-03-23 19:54:11"
342,"No doubt","2025-03-23 19:54:11","2025-03-23 19:54:11"
343,"Carole King","2025-03-23 19:54:11","2025-03-23 19:54:11"
344,"The Cranberries","2025-03-23 19:54:11","2025-03-23 19:54:11"
345,"Beck","2025-03-23 19:54:11","2025-03-23 19:54:11"
346,"George Michael","2025-03-23 19:54:11","2025-03-23 19:54:11"
347,"The the","2025-03-23 19:54:11","2025-03-23 19:54:11"
348,"Søren Kragh Jakobsen","2025-03-23 19:54:11","2025-03-23 19:54:11"
349,"Shawn Mullins","2025-03-23 19:54:11","2025-03-23 19:54:11"
350,"Niels Hausgaard","2025-03-23 19:54:11","2025-03-23 19:54:11"
351,"Danser med drenge","2025-03-23 19:54:11","2025-03-23 19:54:11"
352,"Afroman","2025-03-23 19:54:11","2025-03-23 19:54:11"
353,"Gnarls Barkley","2025-03-23 19:54:11","2025-03-23 19:54:11"
354,"Soggy Bottom Boys","2025-03-23 19:54:11","2025-03-23 19:54:11"
355,"La India","2025-03-23 19:54:11","2025-03-23 19:54:11"
356,"Cornershop","2025-03-23 19:54:11","2025-03-23 19:54:11"
357,"Eurythmics","2025-03-23 19:54:11","2025-03-23 19:54:11"
358,"Kiss","2025-03-23 19:54:11","2025-03-23 19:54:11"
359,"Primal Scream","2025-03-23 19:54:11","2025-03-23 19:54:11"
360,"Madonna","2025-03-23 19:54:11","2025-03-23 19:54:11"
361,"Tom Jones","2025-03-23 19:54:11","2025-03-23 19:54:11"
362,"Rasmus Walter","2025-03-23 19:54:11","2025-03-23 19:54:11"
363,"EmmyLou Harris","2025-03-23 19:54:11","2025-03-23 19:54:11"
364,"Van Morrison","2025-03-23 19:54:11","2025-03-23 19:54:11"
365,"Sugarhill Gang","2025-03-23 19:54:11","2025-03-23 19:54:11"
366,"Dalton","2025-03-23 19:54:11","2025-03-23 19:54:11"
367,"Louis Armstrong","2025-03-23 19:54:11","2025-03-23 19:54:11"
